Año,Trimestre,Mes,Día,Suma de Cantidades,Suma de itsas eus.Dir. Viento (º),Suma de itsas eus.Humedad relativa (%),Suma de itsas eus.Precipitación (l/m²),Suma de itsas eus.Temp. Aire (ºC),Suma de itsas eus.Vel. Viento (km/h),Suma de Predicción maritima.day.forecasts.forecast.waterTemperature,Suma de Predicción maritima.day.forecasts.forecast.waveHeight,itsas eus.Dir. Viento
2023,Trim. 3,julio,12,1,351,84,0,20,12,22.23,0.2,N
2023,Trim. 3,julio,17,16,311,86,0,20,15,22.23,0.5,NW
2023,Trim. 3,julio,19,24,317,92,0,20,13,22.23,0.2,NW
2023,Trim. 3,julio,20,22,0,82,0,19,8,22.23,0.2,N
2023,Trim. 3,julio,22,138,356,81,0,20,9,22.23,0.1,N
2023,Trim. 3,julio,23,243,323,88,0,21,11,22.23,0.1,NW
2023,Trim. 3,julio,24,1278,309,70,0,21,21,22.23,0.6,NW
2023,Trim. 3,julio,29,10,351,86,0,20,16,22.23,0.5,N
2023,Trim. 3,julio,30,115,312,82,0,20,16,22.23,0.2,NW
2023,Trim. 3,agosto,1,109,332,86,0,20,9,22.23,0.5,NNW
2023,Trim. 3,agosto,2,5,278,90,3,21,28,23,0.6,W
2023,Trim. 3,agosto,4,11,322,63,0,19,23,23,1,NW
2023,Trim. 3,agosto,6,306,304,70,0,19,18,22.23,0.5,NW
2023,Trim. 3,agosto,7,15,76,56,0,21,20,22.23,0.5,ENE
2023,Trim. 3,agosto,8,14,111,44,0,29,11,22.23,0.4,ESE
2023,Trim. 3,agosto,9,20,178,44,1,30,13,22.23,0.9,S
2023,Trim. 3,agosto,10,120,327,95,0,21,15,22.23,0.5,NNW
2023,Trim. 3,agosto,14,10,319,77,0,20,14,22.23,0.3,NW
2023,Trim. 3,agosto,16,102,33,79,0,23,14,22.23,0.3,NNE
2023,Trim. 3,agosto,17,16,76,54,0,27,14,22.23,0.3,ENE
2023,Trim. 3,agosto,18,18,12,70,0,24,9,23,0.2,NNE
2023,Trim. 3,agosto,19,24,6,81,0,23,7,23,0.5,N
2023,Trim. 3,agosto,20,22,47,89,0,24,14,23,0.5,NE
2023,Trim. 3,agosto,21,228,314,87,0,25,14,23,0.3,NW
2023,Trim. 3,agosto,22,138,27,83,0,23,11,24,0.3,NNE
2023,Trim. 3,agosto,23,243,351,97,0,21,12,24,0.4,N
2023,Trim. 3,agosto,24,1278,325,89,0,22,14,24,0.5,NW
2023,Trim. 3,agosto,25,1200,2,95,9,20,19,24,0.6,N
2023,Trim. 3,agosto,26,201,315,79,2,19,15,24,0.6,NW
2023,Trim. 3,agosto,28,201,282,83,5,18,29,23,1.5,WNW
2023,Trim. 3,agosto,30,115,314,92,6,18,19,23,1,NW
2023,Trim. 3,septiembre,5,101,126,52,0,25,13,22.23,0.4,SE
2023,Trim. 3,septiembre,6,306,31,66,0,23,10,22.23,0.3,NNE
2023,Trim. 3,septiembre,7,15,158,54,0,24,16,22.23,0.3,SSE
2023,Trim. 3,septiembre,8,14,61,58,0,25,20,22.23,0.3,ENE
2023,Trim. 3,septiembre,9,20,35,59,0,24,11,22.23,0.3,NE
2023,Trim. 3,septiembre,11,100,334,81,0,21,10,22.23,0.4,NNW
2023,Trim. 4,octubre,1,109,38,68,0,22,11,21,0.2,NE
2023,Trim. 4,octubre,10,120,297,55,0,23,11,21,0.1,WNW
